LR baseline,0.9746932192952995,0.9088872007844017
LR baseline,0.9746932192952995,0.9088872007844017
Ridge,0.9378179864368851,0.8606329477741228
Lasso,0.9746932157987481,0.9088928261832449
grid_ridge,0.9746931569243745,0.9088179722343008
grid_lasso,0.9746928690173083,0.9089500050664632
LR baseline,0.9746932192952995,0.9088872007844017
LR baseline,0.9746932192952995,0.9088872007844017
Ridge,0.9378179864368851,0.8606329477741228
Lasso,0.9746932157987481,0.9088928261832449
grid_ridge,0.9746931569243745,0.9088179722343008
grid_lasso,0.9746928690173083,0.9089500050664632
LR baseline,0.9746932192952995,0.9088872007844017
LR baseline,0.9746932192952995,0.9088872007844017
Ridge,0.9378179864368851,0.8606329477741228
Lasso,0.9746932157987481,0.9088928261832449
grid_ridge,0.9746931569243745,0.9088179722343008
grid_lasso,0.9746928690173083,0.9089500050664632
